企业名,成立,地区,赛道
蔚领时代,2019,北京,数字文娱
极目生物,2019,上海,创新药
HALARA,2020,北京,新零售
百力司康,2017,杭州,创新药
优点科技,2014,深圳,智能硬件
全域医疗,2015,北京,数字医疗
新创元半导体*,2021,武汉,集成电路
行芯科技,2018,杭州,集成电路
来未来科技,2020,杭州,数字医疗
瑶芯微,2019,上海,集成电路
态创生物,2021,广州,合成生物
银诺生物,2020,上海,创新药
予果生物,2017,北京,数字医疗
能量奇点,2021,上海,清洁能源
芯爱科技*,2021,南京,集成电路
原能生物,2017,上海,高端智能装备与器件
仙工智能,2020,上海,工业互联网
英诺湖医药,2020,杭州,创新药
炎明生物*,2020,北京,创新药
拓烯科技*,2020,衢州,新材料
柯泰亚生物*,2021,上海,合成生物
励齿医疗,2016,上海,产业互联网
太蓝新能源*,2021,重庆,动力电池
橙仕汽车*,2018,济南,新能源汽车
安锐生物*,2020,广州,创新药
辉大基因,2018,上海,创新药
应世生物,2020,南京,创新药
电科星拓*,2019,成都,集成电路
欧冶半导体*,2021,深圳,集成电路
嘉晨西海*,2019,杭州,创新药
楚微半导体,2019,长沙,集成电路
新声半导体*,2021,深圳,集成电路
司凯奇,2019,南京,新能源汽车
清纯半导体*,2021,宁波,集成电路
芯必达*,2022,武汉,集成电路
瑞易德*,2019,九江,新材料
网思科技*,2020,广州,企业数字运营
清云智通,2019,北京,工业互联网
诺洁贝,2020,苏州,数字医疗
亿铸科技,2020,苏州,集成电路
阿基米德半导体,2021,合肥,集成电路
超星未来*,2019,北京,集成电路
德运康瑞*,2020,苏州,数字医疗
分子之心,2022,北京,创新药
喆塔科技*,2021,合肥,工业互联网
百因诺生物*,2020,苏州,创新药
正序生物,2020,上海,创新药
星波动力*,2020,苏州,新材料
鑫昇腾科技,2019,南京,产业互联网
闻泰医药*,2021,苏州,创新药
跃科智能*,2020,无锡,高端智能装备与器件
赛岚医药*,2019,杭州,创新药
比博斯特*,2021,上海,新能源汽车
艾科脉,2020,苏州,创新医疗器械
威斯津生物,2021,成都,创新药
凯爱生物*,2021,苏州,数字医疗
士模微电子*,2021,北京,集成电路
江苏奕森科技,2019,苏州,新能源汽车
镭昱光电,2019,苏州,集成电路
艾方芯动*,2019,苏州,集成电路
芯领域*,2019,无锡,集成电路
芯合半导体*,2021,苏州,集成电路
中科晶格,2020,合肥,金融科技
质数斯达克,2019,成都,金融科技
恒精新能源*,2019,马鞍山,新能源汽车
颐灵生物,2019,成都,创新药
极芯通讯,2019,南京,集成电路
血泰生物,2021,苏州,数字医疗
派电科技*,2021,上海,智慧出行
致真精密仪器*,2019,青岛,高端智能装备与器件
大乐装*,2020,深圳,数字房产
健新医疗*,2022,青岛,创新医疗器械
辉粒药业*,2020,苏州,创新药
哆猫猫,2020,北京,网红爆品
艾捷博雅*,2020,苏州,创新药
启源医疗*,2020,合肥,创新医疗器械
地球山*,2021,苏州,集成电路
康日百奥*,2019,苏州,创新药
傲星科技*,2020,上饶,企业数字运营
清安能源*,2021,重庆,清洁能源
芯耀辉,2020,珠海,集成电路
君拓生物,2021,上海,创新药
微远基因,2018,广州,数字医疗
翼思生物,2020,上海,创新药
安济盛生物,2018,广州,创新药
中科星城,2021,长沙,新材料
AutoX,2018,深圳,自动驾驶
图湃医疗,2017,北京,创新医疗器械
UMU,2019,厦门,企业数字运营
脉金生物,2019,上海,创新药
典晶生物,2020,苏州,创新医疗器械
阿尔法智联,2018,北京,集成电路
赛神医药,2020,上海,创新药
前晨汽车,2020,上海,新能源汽车
海思盖德,2020,苏州,创新医疗器械
斯年智驾,2020,湖州,自动驾驶
和剂药业,2020,嘉兴,创新药
威迈芯材,2021,苏州,集成电路
